Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Western and Central,16.32083164,16.41108393,16.76261386,17.13192401,17.50769269,17.88449046,18.26983529,18.66366518,19.06486675,19.47462716,19.90860049,20.3519353,20.80471544,21.26438306,21.73105577,22.20608843,22.68728166,23.17768827,23.67619549,24.18169264,24.6744688,,
Albania,40.23741599,40.52089533,40.80820221,41.08650252,41.3557192,41.87565502,42.39121173,42.8911399,43.37534517,43.8438649,44.29658365,44.73359433,45.15484031,45.56157447,45.95406239,46.33301305,46.69888959,47.05228993,47.39384501,47.57714147,47.69108212,,
Andorra,14.60403562,21.78866006,28.9732855,36.15790772,43.3425362,50.52715717,57.71178438,64.89640615,72.08103555,79.26565868,86.45028444,93.63490505,100.0000035,99.99999528,100.0000012,99.99999755,99.99999506,99.99999876,100.0000012,100.0000037,100.0000037,,
Arab World,38.95930736,39.07570723,39.74753114,40.01528807,40.50294181,41.0024047,41.60723787,42.25736226,42.92130855,43.59839243,44.21066186,44.82405304,45.40315601,45.94781398,46.52456568,47.16472406,47.86352529,48.5267421,49.14653254,49.70695604,50.07252206,,
United Arab Emirates,,,74.56568765,74.56568765,74.56568765,74.56568765,74.56568765,76.11856186,77.67143607,79.69170759,81.71197912,83.73527727,85.75870566,87.78226429,89.80595317,91.8297723,93.85372167,95.87780128,97.90201114,99.14769965,99.22957,,
Argentina,47.84462112,48.05399554,48.26404854,48.47481229,48.68641549,48.89879673,49.11201065,49.32598106,49.54076879,49.75629799,49.97256189,50.18866086,50.40496589,50.61825328,50.83251634,51.04761816,51.26354091,,,,,,
Armenia,46.26395804,46.35189576,46.43120892,46.50704924,46.58209231,46.65712453,48.09726053,49.52207905,50.96552269,52.42774152,53.90871358,55.40847555,56.92706363,58.46433021,60.02100199,61.59785326,63.13672983,64.61479069,66.1091264,67.76279579,69.32908129,,
Australia,58.78889399,58.78889399,58.78889399,58.78889399,58.78889399,59.75580652,60.72271904,61.68963157,62.65654409,63.62345662,64.59036915,65.55728167,66.5241942,67.49110673,68.45801925,69.42493178,70.39184431,71.35875683,72.32566936,73.29258189,74.25949441,,
Austria,99.68162202,99.67939917,99.6771794,99.67331859,99.66922476,99.66514266,99.66108998,99.6570275,99.6529915,99.64897038,99.6449621,99.64096875,99.6394239,99.63907975,99.63873134,99.63836064,99.63798849,99.63759412,99.63912654,99.64076649,99.64252491,,
Azerbaijan,18.66676954,19.59669997,20.52351408,21.4468334,22.36675979,23.12100788,23.68295256,24.18673445,24.39743142,24.50816483,24.60805925,24.69717328,24.77528518,24.84187106,24.71672828,24.52326138,23.65736781,22.78796404,21.9151199,21.03918997,,,
