Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,60.582,60.88,61.023,61.372,61.522,61.686,62.329,62.702,62.966,63.335,63.715,64.073,64.516,64.868,65.259,65.428,65.807,66.14,66.491,66.908,67.372,68.178,68.456,68.587,68.751,68.861,68.954,69.581,70.082,70.039,70.096,70.142,70.177,70.223,70.27,70.311,70.447,70.491,70.54,70.591,70.597,70.724,70.817,70.91,70.63,70.965,71.384,71.797,71.256,71.644,72.126,72.223,72.346,72.361,72.448,72.569,72.582,72.838,73.096,73.286,72.828,71.798,
Africa Eastern and Southern,42.54316271,42.74292036,43.11342728,43.15776604,43.70505551,43.68268945,43.4901619,44.1149283,44.40326205,44.57923181,44.86645748,45.28974204,44.99770098,45.88454818,45.81069286,46.0004022,46.47991827,46.70530817,46.73887537,47.28517431,47.69243677,48.03925278,48.24697168,46.65096667,46.44017887,46.79839272,47.37359988,47.69596348,46.91936698,48.37079758,48.23369566,48.10379935,47.65126769,47.90925982,48.7719685,48.83997573,48.67640955,48.90975502,48.08776848,49.10740052,50.23684036,50.57327921,50.93839278,51.50612464,52.02917963,52.67929078,53.58226707,54.29433482,54.94096295,55.7571339,56.47964726,57.25914513,57.92971381,58.4717039,59.02814333,59.51746409,60.02124867,60.53583928,60.90518562,61.290721,60.81748419,59.89450913,
Afghanistan,31.87,32.409,32.883,33.346,33.828,34.289,34.768,35.225,35.712,36.206,36.692,37.178,37.681,38.241,38.792,39.35,39.892,40.492,39.022,37.314,37.799,38.312,35.212,35.518,29.793,29.896,36.389,36.739,41.572,42.891,43.709,44.353,45.07,50.216,49.531,51.039,51.722,52.153,51.134,53.41,53.762,54.272,55.227,56.032,56.658,57.013,57.133,57.342,58.172,58.82,59.278,59.825,60.317,60.791,60.812,60.76,61.193,60.105,59.923,60.619,59.866,58.915,
Africa Western and Central,36.44939592,36.76407254,37.56640245,37.87866006,38.10102266,38.42736332,38.67589918,38.01484572,38.6643208,38.96939027,39.89009419,40.46609095,41.16319098,41.81557782,42.45151085,43.11312362,43.85160116,44.50695004,44.98817383,45.38656109,45.70329054,46.03038898,46.24279308,46.49848094,46.6451126,46.68808471,46.7574998,46.80572348,47.11553568,47.27973344,47.15205612,47.21755798,47.27652606,47.39136493,47.28438288,47.38697297,47.51506215,47.70111057,48.10186388,48.52414858,49.0777125,49.46567699,49.83329979,50.29497067,50.75700672,51.29653215,51.83463424,52.2577825,52.74195474,53.24110075,53.65788418,54.10131434,54.42209012,54.73281544,54.96767418,55.23350695,55.71710556,55.94266378,56.27181247,56.57739212,56.13102263,55.90341913,
Angola,36.585,34.704,34.95,35.247,35.539,35.884,36.144,36.466,36.837,37.192,37.543,37.933,38.313,38.642,39.026,38.397,38.303,38.575,38.99,39.344,39.63,39.997,40.274,39.118,39.367,39.712,39.948,37.575,38.322,38.557,38.674,41.009,39.189,38.161,39.733,43.885,44.118,44.35,42.582,42.455,43.562,43.714,44.94,47.568,48.532,49.508,50.227,51.473,52.527,53.537,54.415,55.314,56.22,56.925,57.606,58.213,58.741,59.331,59.582,59.977,59.584,59.029,
Albania,51.365,52.618,53.82,55.071,56.313,57.358,58.328,59.409,60.401,61.426,62.407,63.222,64.037,64.866,65.55,66.121,66.537,66.964,67.117,67.384,68.048,68.194,68.354,68.551,68.705,68.84,69.12,69.476,69.643,69.853,70.05,70.321,70.66,70.957,71.202,71.428,71.669,70.773,72.19,72.401,72.646,72.921,73.22,73.499,73.786,74.033,74.243,75.1,75.163,75.316,75.493,75.693,75.73,75.786,76.114,76.404,76.639,76.873,77.037,77.168,74.632,74.087,
Arab World,43.32509073,44.01020616,44.40972633,45.39347685,46.36861911,46.68458044,46.85674327,47.25104523,47.83725583,48.16357284,48.70413647,49.68273163,50.26710898,50.84830773,51.54952788,51.95617934,52.37748205,53.73627919,54.47925943,55.18031655,55.41726492,55.67831798,55.92042701,56.64604668,57.34073661,58.08393925,58.94597887,58.93401432,58.24167876,60.41685363,60.83449477,61.2571485,61.5986819,62.5769849,63.710552,63.42687198,63.83793095,64.09031693,63.88116352,65.07735656,65.42538681,65.76819991,66.05959811,65.88867341,65.83818101,66.07524457,66.45136397,66.82295242,67.30176005,67.90172269,68.14341186,68.35467226,68.19819209,68.16905026,68.45360404,68.80646768,68.86461346,69.33365975,69.60939621,69.90696576,68.93622289,68.83243332,
United Arab Emirates,46.613,47.606,48.646,49.584,50.967,52.131,53.298,54.424,55.692,56.956,58.249,59.478,60.683,61.656,62.74,63.484,64.229,64.911,65.589,66.199,66.865,67.496,68.037,68.317,68.824,69.075,69.303,69.768,69.907,70.09,70.262,70.698,70.831,70.938,71.027,71.152,71.365,71.555,71.704,72.348,73.166,73.388,73.631,74.984,75.202,75.417,75.639,75.825,76.027,76.233,76.459,76.665,76.931,77.084,77.331,77.563,77.684,77.871,78.028,78.175,77.464,77.216,
Argentina,60.916,61.24,61.035,61.178,61.037,61.235,61.525,61.524,61.317,61.243,61.971,62.028,62.361,62.708,62.803,63.291,63.367,63.93,64.38,64.708,64.826,65.125,65.083,65.518,65.44,66.141,66.655,67.148,67.711,68.09,68.552,68.957,69.095,69.16,70.18,69.95,70.123,69.705,70.149,70.407,70.583,70.749,70.752,70.83,71.53,71.692,72.066,71.487,72.276,72.694,72.516,72.841,72.939,73.011,73.424,73.294,72.933,73.526,73.631,73.857,72.546,72.182,
Armenia,58.252,58.551,58.849,59.128,59.271,59.548,59.831,60.047,59.954,60.228,60.482,60.754,60.991,61.075,61.326,61.565,61.753,61.79,62.112,62.405,62.729,63.034,63.338,63.544,64.004,64.692,64.838,65.015,53.036,65.293,65.447,65.008,64.747,64.885,65.08,65.445,65.82,66.322,66.785,66.554,66.89,67.073,67.124,67.306,67.494,67.596,67.743,68.08,67.995,68.242,68.597,68.613,69.037,69.062,69.236,69.595,69.673,69.92,69.992,70.403,67.051,66.554,
Antigua and Barbuda,58.904,59.688,60.464,61.404,62.219,63.183,64.113,64.978,65.787,66.581,67.062,67.609,68.004,68.456,68.762,69.006,69.55,69.73,69.968,70.139,70.359,70.543,70.632,70.71,70.783,70.832,70.835,70.819,70.847,70.801,70.899,70.881,70.808,71.028,71.029,70.971,71.047,71.087,71.058,71.368,71.503,71.912,72.48,72.742,73.153,73.07,72.972,73.277,73.509,73.796,73.959,74.244,74.476,74.671,74.908,75.148,75.366,75.52,75.724,75.909,76.061,75.775,
Australia,67.78571429,67.9,67.84,67.78,67.72,67.66,67.6,67.64,67.68,67.72,67.76,67.8,68.16,68.52,68.88,69.24,69.6,69.92,70.24,70.56,70.88,71.2,71.5,71.8,72.1,72.4,72.7,73.02,73.34,73.66,73.98,74.3,74.5,75,75,75,75.2,75.7,75.9,76.2,76.6,77,77.4,77.8,78.1,78.5,78.7,79,79.2,79.3,79.5,79.7,79.9,80.1,80.3,80.4,80.4,80.5,80.7,80.9,81.2,81.3,
